ALDDEG	ALDSEC	ANG1ANG2	ANG2DEG	ANGGEN2ANG1	Afeces_cap	Afeces_capall	Afeces_capss	Afeces_captot	Aurine_cap	Aurine_capall	Aurine_capme	Aurine_capss	Aurine_captot	DBP	DBP_change	DBP_change_relative	DBP_ratio	GU__F_cap_abs	KI__f_renal_function	MAP	MAP_change	PODOSE_cap	RENDEG	RENSEC	SBP	SBP_change	SBP_change_relative	SBP_ratio	[Cve_cap]	[Cve_capall]	[Cve_capme]	[Cve_capss]	[Cve_captot]	[ace]	[ald]	[ang1]	[ang2]	[anggen]	[ren]	ace_activity	ace_inhibition	ald_change	ald_ratio	ang1_change	ang1_ratio	ang2_change	ang2_ratio	f_cardiac_function	ren_change	ren_ratio	time
1.0105027952686e-06	1.0105027952686e-06	1.00300143544081e-09	1.00300143544081e-09	1.00300143544081e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	1.0	0.6	1.0	93.33333333333333	0.0	25.0	0.1	0.1	120.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1e-09	2.5e-07	1e-08	8e-09	1e-08	3.5421799054530925e-09	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.5416666666666666	0.0	1.0	0.0
1.0053857061558028e-06	9.934481574645141e-07	2.0365650954838825e-10	9.860734009232266e-10	1.0202200718621675e-09	7.87306311465267e-27	7.873063114652738e-27	6.838443674466275e-41	7.873063114652738e-27	1.066777110723531e-05	1.0673986548475034e-05	6.0921285165188875e-09	1.2331272320569008e-10	1.0667894419958515e-05	79.87360525569558	-0.12639474430442021	-0.0015799343038052527	0.9984200656961948	0.6	1.0	93.18587279831151	-0.14746053502182122	24.443780929833395	0.10171671104476439	0.10171671140320125	119.81040788354336	-0.18959211645663743	-0.001579934303805312	0.9984200656961947	0.0003993061811347945	0.000402412911515324	1.0267482673839233e-06	2.0799821131455836e-06	0.00040138616324794006	1e-09	2.4873402400845483e-07	1.0138266053543292e-08	7.864980974746912e-09	1e-08	3.6029888991154303e-09	0.20027791318890886	0.7997220868110911	-1.2659759915451539e-09	0.9949360960338194	1.382660535432916e-10	1.0138266053543292	-1.3501902525308823e-10	0.983122621843364	0.5416666666666666	6.080899366233779e-11	1.0171671104476439	1.35
9.865928044854718e-07	9.654531523472613e-07	1.1940360909042499e-10	9.582862137434882e-10	1.0498031393515871e-09	7.233980568045129e-25	7.233980568047995e-25	2.8655424592893255e-37	7.233980568047995e-25	6.852611800907993e-05	6.860903988183963e-05	8.127746442367146e-08	1.6444083360359674e-09	6.852776241741596e-05	79.40941087701664	-0.59058912298336	-0.007382364037292	0.992617635962708	0.6	1.0	92.64431268985275	-0.6890206434805748	23.89993704582748	0.10466616519748133	0.10466616560439125	119.11411631552497	-0.8858836844750329	-0.00738236403729194	0.992617635962708	0.0007716560817898092	0.0007841320210184266	4.125406637635779e-06	8.350532590981562e-06	0.0007800066143807908	1e-09	2.4408463022193503e-07	1.0376743080689621e-08	7.643348692296379e-09	1e-08	3.7074638714335214e-09	0.11472414647146811	0.8852758535285319	-5.915369778064956e-09	0.9763385208877402	3.7674308068962064e-10	1.037674308068962	-3.5665130770362156e-10	0.9554185865370473	0.5416666666666666	1.652839659804289e-10	1.046661651974813	2.7
9.613375121275205e-07	9.368141725881701e-07	9.304070110989598e-11	9.298598323990473e-10	1.081896260514579e-09	9.585457201245579e-24	9.585457201272311e-24	2.6731967874024625e-35	9.585457201272311e-24	0.00016986237379875622	0.0001701757769301674	3.071904687965965e-07	6.212662614595532e-09	0.0001698685864613708	78.78559211022332	-1.2144078897766803	-0.015180098622208505	0.9848199013777915	0.6	1.0	91.91652412859388	-1.416809204739451	23.368193015400674	0.10786587359559417	0.10786587402673978	118.17838816533498	-1.8216118346650205	-0.015180098622208505	0.9848199013777915	0.0010466205704474873	0.001072736793692047	8.638933416108747e-06	1.7477289828450846e-05	0.0010640978602759381	1e-09	2.3783643069289803e-07	1.0636313968441838e-08	7.416618158600202e-09	1e-08	3.8208032993445695e-09	0.08721280829714528	0.9127871917028547	-1.216356930710196e-08	0.9513457227715921	6.363139684418378e-10	1.0636313968441837	-5.833818413997985e-10	0.9270772698250251	0.5416666666666666	2.78623393891477e-10	1.0786587359559416	4.050000000000001
9.339464843831179e-07	9.0852295346495e-07	8.075627286841212e-11	9.017786301264524e-10	1.1155862888909018e-09	5.84768138691427e-23	5.847681386972811e-23	5.8540461629470965e-34	5.847681386972811e-23	0.000304821643084451	0.00030558025031182434	7.435743302202539e-07	1.5032897153082693e-08	0.0003048366759816041	78.1090195761764	-1.8909804238236063	-0.02363725529779508	0.976362744702205	0.6	1.0	91.12718950553912	-2.2061438277942074	22.848279631780695	0.11122479484793679	0.11122479530260808	117.16352936426459	-2.8364706357354095	-0.02363725529779508	0.976362744702205	0.0012549913491904337	0.0012979022446776944	1.41990002204185e-05	2.8711895266842343e-05	0.001283703244457276	1e-09	2.310598468297327e-07	1.0909660471370084e-08	7.1926407940194345e-09	1e-08	3.939782332985043e-09	0.07380120918096411	0.9261987908190359	-1.894015317026729e-08	0.9242393873189308	9.096604713700834e-10	1.0909660471370084	-8.07359205980566e-10	0.8990800992524293	0.5416666666666666	3.9760242753195053e-10	1.1122479484793677	5.4
9.061975547671325e-07	8.808678077056329e-07	7.406534397868703e-11	8.743287793949192e-10	1.1506105015720991e-09	2.347462046083987e-22	2.3474620461439784e-22	5.9991376527845777e-33	2.3474620461439784e-22	0.0004662263222901935	0.00046768996451431984	1.434647513291724e-06	2.8994710834632692e-08	0.00046625531700102813	77.42360668102815	-2.576393318971853	-0.03220491648714816	0.9677950835128518	0.6	1.0	90.32754112786617	-3.0057922054671593	22.339933677712892	0.11471673528227966	0.11471673574955851	116.13541002154223	-3.864589978457772	-0.0322049164871481	0.9677950835128519	0.0014160061735618945	0.0014780740617376543	2.0544371937018285e-05	4.1523516238741596e-05	0.001457529689800636	1e-09	2.2419471747385359e-07	1.1194751547820784e-08	6.9736991274446965e-09	1e-08	4.063473145360728e-09	0.06596279206769162	0.9340372079323084	-2.5805282526146402e-08	0.8967788698954143	1.194751547820784e-09	1.1194751547820785	-1.026300872555304e-09	0.871712390930587	0.5416666666666666	5.212932399076353e-10	1.1471673528227966	6.75
8.78799934751284e-07	8.539605770459808e-07	7.016530513415171e-11	8.476212916950021e-10	1.1868648006542137e-09	7.253279699199645e-22	7.253279699585659e-22	3.8601416395436847e-32	7.253279699585659e-22	0.0006488159666894405	0.0006512783852217104	2.4136536947075404e-06	4.876483756230057e-08	0.0006488647315270028	76.74687131447129	-3.253128685528708	-0.04066410856910885	0.9593358914308912	0.6	1.0	89.53801653354984	-3.7953167997834925	21.84289779220088	0.1183313162590438	0.11833131674112288	115.12030697170694	-4.879693028293062	-0.04066410856910885	0.9593358914308912	0.0015425992039244962	0.0016256142891457144	2.7486363296572937e-05	5.552872192464521e-05	0.0015981279258491415	1e-09	2.174165026722394e-07	1.149085836610234e-08	6.760678593226383e-09	1e-08	4.191508106385997e-09	0.06087912362375447	0.9391208763762455	-3.258349732776059e-08	0.8696660106889577	1.4908583661023398e-09	1.149085836610234	-1.2393214067736177e-09	0.8450848241532978	0.5416666666666666	6.493282009329048e-10	1.1833131625904378	8.100000000000001
8.52037347729151e-07	8.278474030200325e-07	6.786789078961298e-11	8.217019660339782e-10	1.224302626720843e-09	1.873632813369309e-21	1.8736328135508283e-21	1.8151941953217942e-31	1.8736328135508283e-21	0.0008486373350770299	0.0008524180657346412	3.7058821818546092e-06	7.484847575675448e-08	0.0008487121835527866	76.08582159088377	-3.914178409116232	-0.048927230113952905	0.951072769886047	0.6	1.0	88.76679185603106	-4.566541477302266	21.356920340212028	0.12206389576927905	0.12206389626665867	114.12873238632565	-5.871267613674348	-0.048927230113952905	0.951072769886047	0.0016435554737562197	0.0017488851299994467	3.488552137938659e-05	7.044413486384029e-05	0.00171399960862006	1e-09	2.1079539604407336e-07	1.1797733113563631e-08	6.553944487011409e-09	1e-08	4.32372278775261e-09	0.0573540684567756	0.9426459315432244	-3.920460395592663e-08	0.8431815841762935	1.7977331135636311e-09	1.179773311356363	-1.4460555129885915e-09	0.8192430608764261	0.5416666666666666	7.815428822995172e-10	1.2206389576927905	9.450000000000001
8.260229283347922e-07	8.025446769106957e-07	6.658787817743083e-11	7.965870720158132e-10	1.2629025887355823e-09	4.248889016702705e-21	4.248889017384135e-21	6.81429177078137e-31	4.248889017384135e-21	0.0010626392851273933	0.0010680776361750577	5.330720078571646e-06	1.0763096909272505e-07	0.001062746916096486	75.44325199416619	-4.556748005833811	-0.05695935007292263	0.9430406499270774	0.6	1.0	88.01712732652722	-5.316206006806112	20.881755285281844	0.1259123411105138	0.12591234162295056	113.16487799124928	-6.835122008750716	-0.05695935007292263	0.9430406499270774	0.0017249132756238792	0.0018536044914336221	4.263617050836087e-05	8.605504530138195e-05	0.0018109683209252612	1e-09	2.0435938727790167e-07	1.2115346856728428e-08	6.353626576143198e-09	1e-08	4.460041645302172e-09	0.05479712451859564	0.9452028754814044	-4.5640612722098314e-08	0.8174375491116067	2.1153468567284277e-09	1.2115346856728428	-1.6463734238568023e-09	0.7942033220178997	0.5416666666666666	9.178617398490799e-10	1.259123411105138	10.8
8.007991239664536e-07	7.78053668746797e-07	6.600679535413042e-11	7.722778702414098e-10	1.3026553189880866e-09	8.727620640930824e-21	8.727620643090329e-21	2.1595044805474658e-30	8.727620643090329e-21	0.0012884033250193476	0.0012958537947762377	7.303063282191097e-06	1.4740647469904463e-07	0.0012885507314940466	74.82021099698133	-5.179789003018669	-0.06474736253773336	0.9352526374622666	0.6	1.0	87.29024616314489	-6.043087170188443	20.41716206495284	0.1298757183149575	0.1298757188429182	112.230316495472	-7.769683504528004	-0.06474736253773336	0.9352526374622666	0.0017908861442913339	0.0019437368596934017	5.065614906314761e-05	0.00010219456633892037	0.0018930807106302542	1e-09	1.9811897792761535e-07	1.2443784261320167e-08	6.159734915250651e-09	1e-08	4.600431596215286e-09	0.0528852571594034	0.9471147428405966	-5.1881022072384643e-08	0.7924759117104614	2.443784261320167e-09	1.2443784261320168	-1.8402650847493492e-09	0.7699668644063313	0.5416666666666666	1.0582516907621932e-09	1.2987571831495748	12.15
7.763775469275104e-07	7.543673991007141e-07	6.593861116107552e-11	7.487674330941831e-10	1.3435571994130676e-09	1.65869561316504e-20	1.6586956137648505e-20	5.998104313625516e-30	1.6586956137648505e-20	0.0015239634727774096	0.0015337921721771707	9.634301416576388e-06	1.9439798318464147e-07	0.0015241578707605942	74.21698542922087	-5.78301457077913	-0.07228768213473913	0.9277123178652609	0.6	1.0	86.58648300075768	-6.746850332575647	19.962905468984527	0.1339536666587707	0.13395366720158197	111.3254781438313	-8.674521856168695	-0.07228768213473913	0.9277123178652609	0.0018444695949577739	0.002022079282661686	5.887996255981622e-05	0.00011872972514409613	0.00196319932010187	1e-09	1.9207704089555308e-07	1.278319452056466e-08	5.972214249245669e-09	1e-08	4.744879863004594e-09	0.051427906231761744	0.9485720937682383	-5.792295910444691e-08	0.7683081635822123	2.7831945205646596e-09	1.278319452056466	-2.027785750754331e-09	0.7465267811557086	0.5416666666666666	1.2026999575515014e-09	1.3395366665877069	13.5
7.527554879596792e-07	7.314742035604013e-07	6.626881542360779e-11	7.260441827516075e-10	1.3856069635075746e-09	2.960946833726032e-20	2.9609468352252327e-20	1.4992002750870606e-29	2.9609468352252327e-20	0.001767684982765264	0.0017802667725880545	1.23330182600391e-05	2.487715627513333e-07	0.0017679337543280154	73.63350837080574	-6.3664916291942575	-0.07958114536492822	0.9204188546350718	0.6	1.0	85.90575976594003	-7.427573567393296	19.51875552027326	0.13814605987065345	0.13814606042838504	110.4502625562086	-9.5497374437914	-0.07958114536492834	0.9204188546350717	0.0018878408778093523	0.0020906471890791635	6.725418738126428e-05	0.00013555212388854696	0.0020233930016978993	1e-09	1.8623290590690314e-07	1.3133765871945683e-08	5.790972232716838e-09	1e-08	4.893381972913484e-09	0.05030583741199768	0.9496941625880023	-6.376709409309685e-08	0.7449316236276126	3.133765871945683e-09	1.3133765871945684	-2.209027767283163e-09	0.7238715290896046	0.5416666666666666	1.3512020674603917e-09	1.3814605987065343	14.850000000000001
7.299231538609849e-07	7.093597203617507e-07	6.692408306866676e-11	7.040938640626004e-10	1.4288036394004524e-09	5.019925236687424e-20	5.019925240124986e-20	3.4375621876139687e-29	5.019925240124986e-20	0.002018181940799622	0.0020338980884893514	1.540550096914069e-05	3.1064672058851754e-07	0.0020184925875202106	73.0695379245885	-6.930462075411498	-0.08663077594264372	0.9133692240573563	0.6	1.0	85.24779424535325	-8.08553908798008	19.084487358421452	0.14245280105431818	0.14245280162697654	109.60430688688274	-10.395693113117261	-0.08663077594264385	0.9133692240573562	0.0019226228060210539	0.0021509287814950166	7.573435948386283e-05	0.00015257161599009988	0.0020751944220111537	1e-09	1.805841501079087e-07	1.3495711162890078e-08	5.615895165718543e-09	1e-08	5.045934493701129e-09	0.04944075568727613	0.9505592443127239	-6.941584989209129e-08	0.7223366004316348	3.495711162890078e-09	1.3495711162890078	-2.3841048342814578e-09	0.7019868957148178	0.5416666666666666	1.5037545882480363e-09	1.4245280105431815	16.200000000000003
7.078670709519e-07	6.880080610077892e-07	6.785605511495754e-11	6.829007064767533e-10	1.4731451672704219e-09	8.150895549021947e-20	8.150895556358099e-20	7.33615243358104e-29	8.150895556358099e-20	0.0022742605918498722	0.0022934968156390666	1.885611965842556e-05	3.8010413076910906e-07	0.0022746406959806413	72.52474128372504	-7.475258716274965	-0.09344073395343706	0.9065592660465629	0.6	1.0	84.61219816434587	-8.721135168987459	18.659881125897176	0.146873684844029	0.1468736854315955	108.78711192558754	-11.212888074412461	-0.09344073395343717	0.9065592660465628	0.0019500582711755934	0.0022040530932025486	8.428284523326346e-05	0.00016971197679369195	0.0021197702479692853	1e-09	1.7512744008880821e-07	1.3869259018221538e-08	5.4468572613886614e-09	1e-08	5.202530150943698e-09	0.04877910126069507	0.9512208987393049	-7.487255991119178e-08	0.7005097603552329	3.869259018221538e-09	1.3869259018221538	-2.553142738611339e-09	0.6808571576735827	0.5416666666666666	1.660350245490606e-09	1.4687368484402896	17.55
6.865718152597548e-07	6.674025297841509e-07	6.903216940182455e-11	6.624481382185565e-10	1.5186273723984445e-09	1.275774797952249e-19	1.27577479942575e-19	1.473500717327608e-28	1.27577479942575e-19	0.002534879761153316	0.002558024570784344	2.2687618075586305e-05	4.5719155544181366e-07	0.002535336952708758	71.99873746812318	-8.001262531876819	-0.10001578164846023	0.8999842183515397	0.6	1.0	83.9985270461437	-9.334806287189622	18.24472185672673	0.1514082950171474	0.15140829561964853	107.99810620218477	-12.001893797815228	-0.10001578164846023	0.8999842183515397	0.0019711260475521364	0.002250901308738073	9.286736374148182e-05	0.0001869078974444547	0.002158033944996591	1e-09	1.6985895993421233e-07	1.4254648010978635e-08	5.283726342245297e-09	1e-08	5.363154201286531e-09	0.04828291359581416	0.9517170864041858	-8.014104006578766e-08	0.6794358397368493	4.254648010978635e-09	1.4254648010978634	-2.7162736577547038e-09	0.6604657927806621	0.5416666666666666	1.8209742958334382e-09	1.5140829501714739	18.900000000000002
6.660209616473263e-07	6.475260813319329e-07	7.043023713665035e-11	6.42719240463513e-10	1.565243129786131e-09	1.9347808056120061e-19	1.9347808084219548e-19	2.809948675506557e-28	1.9347808084219548e-19	0.002799122681718299	0.0028265659526525854	2.6901342425844572e-05	5.419285084420065e-07	0.002799664610226741	71.49112076840919	-8.50887923159081	-0.10636099039488514	0.8936390096051149	0.6	1.0	83.40630756314405	-9.927025770189275	17.83879936766302	0.15605592120595732	0.15605592182326306	107.23668115261378	-12.763318847386216	-0.10636099039488514	0.8936390096051149	0.0019866179784207524	0.0022921807817704687	0.00010145994313206931	0.00020410286021764706	0.0021907208386383993	1e-09	1.647746460390276e-07	1.4652122503611737e-08	5.126367462722873e-09	1e-08	5.527781482227131e-09	0.04792444090589332	0.9520755590941067	-8.522535396097239e-08	0.6590985841561104	4.652122503611737e-09	1.4652122503611738	-2.8736325372771277e-09	0.6407959328403591	0.5416666666666666	1.9856015767740385e-09	1.560559212059573	20.25
6.461976401370949e-07	6.283616195881525e-07	7.203511227653995e-11	6.236970440594418e-10	1.6129816312670138e-09	2.854766002640369e-19	2.8547660077637215e-19	5.123352519313986e-28	2.8547660077637215e-19	0.0030661764884901996	0.0030983082248589072	3.1497426342038964e-05	6.343100266684336e-07	0.003066810798516868	71.00147448742418	-8.998525512575824	-0.11248156890719781	0.8875184310928022	0.6	1.0	82.83505356866154	-10.498279764671793	17.441908151776385	0.16081548582810584	0.1608154864599965	106.50221173113627	-13.49778826886373	-0.11248156890719775	0.8875184310928023	0.0019971907124705125	0.0023284744851386685	0.00011003616772430747	0.00022124760494384864	0.002218438317414361	1e-09	1.5987032474396328e-07	1.5061929434999845e-08	4.974645275839173e-09	1e-08	5.696373823859931e-09	0.04768283561689002	0.95231716438311	-9.012967525603671e-08	0.6394812989758532	5.061929434999845e-09	1.5061929434999846	-3.0253547241608277e-09	0.6218306594798966	0.5416666666666666	2.1541939184068382e-09	1.6081548582810583	21.6
