study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	0.08	hr		0.0017553255171853408	331.784910048115	0.0003370362932418954	0.00012738774496015652		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	0.25	hr		0.0012048664092566123	203.221672911512	0.00013674606633911094	5.168515489994695e-05		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	0.5	hr		0.0009190373331961448	169.208499409714	0.00010883612768527411	4.1136189644929616e-05		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	1.0	hr		0.0006203042551536768	101.923761560306	0.00011095734563005896	4.193793466756797e-05		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	2.0	hr		0.0003612139634528682	67.6799734641335	6.0418385267729696e-05	2.2836003147785922e-05		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	3.0	hr		0.0002462403446879888	46.5460599514461	4.7319905265414556e-05	1.7885243056488963e-05		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	4.0	hr		0.00018649531019161654	35.2466120130003	3.5748247097967735e-05	1.351156737538703e-05		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	6.0	hr		0.00011982713047704497	23.0468327990063	2.8976553197801703e-05	1.0952107659030968e-05		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	8.0	hr		8.857684053005954e-05	16.3092487260288	1.0503582559525216e-05	3.969981046819863e-06		mole/meter^3	ng/ml
Creasey1988		all	7.0	CAP5.67	concentration	captopril+metabolites	blood	scintillation counting	CAP5.67_captopril+metabolites_blood_all	12.0	hr		4.9264164001993065e-05	9.56015150513379	1.3188831282021771e-05	4.9849096651169745e-06		mole/meter^3	ng/ml
