ALDDEG	ALDSEC	ANG1ANG2	ANG2DEG	ANGGEN2ANG1	Afeces_cap	Afeces_capall	Afeces_capss	Afeces_captot	Aurine_cap	Aurine_capall	Aurine_capme	Aurine_capss	Aurine_captot	DBP	DBP_change	DBP_change_relative	DBP_ratio	GU__F_cap_abs	KI__f_renal_function	MAP	MAP_change	PODOSE_cap	RENDEG	RENSEC	SBP	SBP_change	SBP_change_relative	SBP_ratio	[Cve_cap]	[Cve_capall]	[Cve_capme]	[Cve_capss]	[Cve_captot]	[ace]	[ald]	[ang1]	[ang2]	[anggen]	[ren]	ace_activity	ace_inhibition	ald_change	ald_ratio	ang1_change	ang1_ratio	ang2_change	ang2_ratio	f_cardiac_function	ren_change	ren_ratio	time
1.0105027952686e-06	1.0105027952686e-06	1.00300143544081e-09	1.00300143544081e-09	1.00300143544081e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	1.0	0.6	1.0	93.33333333333333	0.0	25.0	0.1	0.1	120.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1e-09	2.5e-07	1e-08	8e-09	1e-08	1e-09	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
1.0018868262771828e-06	9.871539476080066e-07	1.8150105946252514e-10	9.79825915462917e-10	1.0267251177913339e-09	2.953374950078726e-26	2.9533749500789077e-26	1.8185430144218063e-39	2.9533749500789077e-26	2.6501968059247638e-05	2.651891257896312e-05	1.661495398993013e-08	3.2956572555234185e-10	2.650229762497319e-05	79.78718111535686	-0.21281888464314136	-0.002660236058039267	0.9973397639419608	0.6	1.0	93.085044634583	-0.24828869875032922	24.321867063836354	0.10236526903275045	0.10236526913731851	119.6807716730353	-0.31922832696470493	-0.002660236058039208	0.9973397639419608	0.0004631546739114702	0.00046736290448106223	1.3901982129006776e-06	2.818032356691377e-06	0.00046597270626816157	1e-09	2.47868395557202e-07	1.0190730176899792e-08	7.815150653556483e-09	1e-08	1.0236526903275044e-09	0.17757110902664786	0.8224288909733521	-2.131604442797989e-09	0.991473582228808	1.907301768997918e-10	1.0190730176899792	-1.8484934644351756e-10	0.9768938316945603	1.0	2.3652690327504385e-11	1.0236526903275043	1.65
9.757112589703313e-07	9.527627525667839e-07	1.1088774911743089e-10	9.456900197935712e-10	1.063786079293108e-09	2.6129647434838058e-24	2.6129647434878605e-24	4.054903528086415e-36	2.6129647434878605e-24	0.0001296347652116439	0.00012980666693566546	1.685594917520695e-07	3.3422322694920436e-09	0.0001296381074439134	79.14063108196021	-0.8593689180397917	-0.010742111475497395	0.9892578885245026	0.6	1.0	92.3307362622869	-1.0025970710464236	23.66212869883711	0.10606027486147952	0.10606027497887192	118.71094662294031	-1.2890533770596875	-0.010742111475497395	0.9892578885245026	0.0008488477705113206	0.0008651760958389886	5.395917207185706e-06	1.0932408120482362e-05	0.0008597801786318029	1e-09	2.413925185409752e-07	1.049007407261104e-08	7.542880688923036e-09	1e-08	1.0606027486147952e-09	0.10539098378880252	0.8946090162111975	-8.607481459024773e-09	0.965570074163901	4.900740726110393e-10	1.049007407261104	-4.5711931107696455e-10	0.9428600861153794	1.0	6.06027486147951e-11	1.060602748614795	3.3
9.432807675058758e-07	9.181620501038794e-07	8.912853620790323e-11	9.113461719585647e-10	1.1038745860870194e-09	3.391037615629562e-23	3.3910376156586293e-23	2.9067095528344126e-34	3.3910376156586293e-23	0.00029088480269086575	0.00029147852756997096	5.821849793756315e-07	1.1539899729586124e-08	0.00029089634259059534	78.33958119090684	-1.6604188090931586	-0.020755235113664484	0.9792447648863355	0.6	1.0	91.39617805605798	-1.9371552772753518	23.020285946420127	0.11005712924048575	0.1100571293655922	117.50937178636025	-2.490628213639752	-0.020755235113664602	0.9792447648863354	0.0011170812887620685	0.0011508923897631338	1.11767484388162e-05	2.263435256224907e-05	0.0011397156413243176	1e-09	2.3336916333198857e-07	1.0815206228066558e-08	7.268952085262263e-09	1e-08	1.1005712924048575e-09	0.08216378061461549	0.9178362193853845	-1.663083666801142e-08	0.9334766533279543	8.15206228066558e-10	1.0815206228066558	-7.310479147377376e-10	0.9086190106577828	1.0	1.0057129240485739e-10	1.1005712924048574	4.949999999999999
9.095852704533062e-07	8.843649437098597e-07	7.937807686812064e-11	8.777999547826517e-10	1.1460605265098524e-09	2.0418001612220052e-22	2.0418001612770167e-22	5.501142067541739e-33	2.0418001612770167e-22	0.0004940286378023722	0.0004953992204541197	1.3439517949268758e-06	2.6630856820656953e-08	0.0004940552686591928	77.50728500839188	-2.492714991608125	-0.03115893739510156	0.9688410626048984	0.6	1.0	90.42516584312385	-2.908167490209479	22.395853382413225	0.11426309933506418	0.11426309946543103	116.26092751258781	-3.7390724874121872	-0.03115893739510156	0.9688410626048984	0.001309995081440966	0.0013649845736376043	1.8183095102978832e-05	3.6806397093659535e-05	0.0013468014785346255	1e-09	2.2503284372695148e-07	1.1158777445727573e-08	7.001385431891166e-09	1e-08	1.1426309933506418e-09	0.07092223321644753	0.9290777667835525	-2.4967156273048506e-08	0.9001313749078059	1.1587774457275724e-09	1.1158777445727572	-9.986145681088348e-10	0.8751731789863957	1.0	1.426309933506417e-10	1.1426309933506418	6.6
8.762907040662229e-07	8.51649948853509e-07	7.439562845469757e-11	8.453278162047111e-10	1.1900849103249112e-09	8.122525425331981e-22	8.122525425845226e-22	5.13245205671611e-32	8.122525425845226e-22	0.0007283598388676951	0.0007309236912698188	2.5140516286138127e-06	4.980077350991915e-08	0.000728409639641205	76.68489202041407	-3.3151079795859317	-0.04143884974482415	0.9585611502551759	0.6	1.0	89.46570735714974	-3.8676259761835894	21.788358749928964	0.11865236362317666	0.11865236375918753	115.0273380306211	-4.972661969378905	-0.04143884974482421	0.9585611502551757	0.0014529784629430202	0.0015317530167176894	2.6055977892074534e-05	5.2718575882594655e-05	0.0015056970388256149	1e-09	2.1679571500673026e-07	1.1518907615170042e-08	6.742385694259329e-09	1e-08	1.1865236362317666e-09	0.06439239331786473	0.9356076066821353	-3.3204284993269727e-08	0.8671828600269211	1.5189076151700414e-09	1.1518907615170042	-1.2576143057406714e-09	0.8427982117824161	1.0	1.865236362317665e-10	1.1865236362317664	8.25
8.439469818230376e-07	8.201115308636767e-07	7.180908284349088e-11	8.140235203002888e-10	1.2358511188640641e-09	2.4929408777797455e-21	2.492940878088793e-21	3.0904745354511766e-31	2.492940878088793e-21	0.0009865306383619636	0.0009907478330187726	4.13530496290688e-06	8.188969390217578e-08	0.0009866125280558657	75.88598537394647	-4.114014626053532	-0.051425182825669144	0.9485748171743309	0.6	1.0	88.53364960293754	-4.799683730395785	21.19734260219793	0.12321528915069986	0.1232152892917404	113.8289780609197	-6.171021939080305	-0.051425182825669206	0.9485748171743308	0.0015614565105110658	0.0016658836156073862	3.455172060961082e-05	6.987538448670956e-05	0.0016313318949977753	1e-09	2.087938266411993e-07	1.189506455209725e-08	6.49270074029382e-09	1e-08	1.2321528915069986e-09	0.06018815380803433	0.9398118461919657	-4.120617335880069e-08	0.8351753065647972	1.89506455209725e-09	1.189506455209725	-1.5072992597061805e-09	0.8115875925367274	1.0	2.321528915069985e-10	1.2321528915069986	9.899999999999999
8.127349689143333e-07	7.897768049803789e-07	7.062508702202253e-11	7.839139810223061e-10	1.2833192195856711e-09	6.406074408118308e-21	6.406074409500685e-21	1.3823771632680448e-30	6.406074409500685e-21	0.0012632684152160333	0.0012696304883811648	6.238573431092554e-06	1.234997340390584e-07	0.0012633919149500723	75.1150325326219	-4.884967467378104	-0.0610620933422263	0.9389379066577737	0.6	1.0	87.63420462139221	-5.699128711941114	20.622357955090134	0.12794789461309836	0.12794789475916618	112.67254879893285	-7.327451201067149	-0.06106209334222624	0.9389379066577738	0.0016450016252696296	0.0017764251903738388	4.349770382286343e-05	8.79258612813457e-05	0.0017329274865509753	1e-09	2.0107192496639792e-07	1.228720989657158e-08	6.2525452373079256e-09	1e-08	1.2794789461309835e-09	0.057306536883338755	0.9426934631166612	-4.892807503360207e-08	0.8042876998655917	2.2872098965715795e-09	1.228720989657158	-1.747454762692075e-09	0.7815681546634906	1.0	2.794789461309835e-10	1.2794789461309835	11.549999999999999
7.827077274288147e-07	7.606432759841008e-07	7.036219351626554e-11	7.549967216742445e-10	1.3324718498349266e-09	1.4465880176882077e-20	1.4465880181870796e-20	4.988717512655149e-30	1.4465880181870796e-20	0.0015546179761179925	0.0015636391602433365	8.846122111810072e-06	1.7506201353378505e-07	0.0015547930381315264	74.37334415744044	-5.626655842559558	-0.07033319803199448	0.9296668019680056	0.6	1.0	86.76890151701384	-6.564431816319484	20.062969949062044	0.13284844894058576	0.13284844909214996	111.56001623616066	-8.439983763839336	-0.07033319803199448	0.9296668019680056	0.0017097264394898934	0.0018691032310526503	5.276626096587711e-05	0.00010661053059687977	0.0018163369700867733	1e-09	1.9364313762753236e-07	1.2695527388844364e-08	6.021899431020698e-09	1e-08	1.3284844894058576e-09	0.05525697023478693	0.9447430297652131	-5.635686237246763e-08	0.7745725505101294	2.695527388844364e-09	1.2695527388844363	-1.978100568979303e-09	0.7527374288775872	1.0	3.284844894058575e-10	1.3284844894058574	13.2
7.53870385578733e-07	7.326940748320958e-07	7.076327594191455e-11	7.272549984388985e-10	1.383300053644979e-09	2.960946837526722e-20	2.9609468390575925e-20	1.5308708209817323e-29	2.9609468390575925e-20	0.0018574902284597104	0.001869700877168287	1.1973769238077992e-05	2.3687947049855965e-07	0.001857727107930209	73.66104691789367	-6.338953082106329	-0.07923691352632911	0.9207630864736709	0.6	1.0	85.93788807087594	-7.395445262457386	19.518755520273267	0.13791605921650862	0.1379160593730974	110.4915703768405	-9.5084296231595	-0.07923691352632917	0.9207630864736708	0.0017596784167900027	0.0019476673793138502	6.22591428917181e-05	0.00012572981963212946	0.0018854082364221322	1e-09	1.8650873335247625e-07	1.3120313921853751e-08	5.800629771735285e-09	1e-08	1.3791605921650863e-09	0.05377273785465042	0.9462272621453496	-6.349126664752374e-08	0.746034933409905	3.120313921853751e-09	1.312031392185375	-2.1993702282647153e-09	0.7250787214669107	1.0	3.791605921650862e-10	1.3791605921650862	14.85
