ALDDEG	ALDSEC	ANG1ANG2	ANG2DEG	ANGGEN2ANG1	Afeces_cap	Afeces_capall	Afeces_capss	Afeces_captot	Aurine_cap	Aurine_capall	Aurine_capme	Aurine_capss	Aurine_captot	DBP	DBP_change	DBP_change_relative	DBP_ratio	GU__F_cap_abs	KI__f_renal_function	MAP	MAP_change	PODOSE_cap	RENDEG	RENSEC	SBP	SBP_change	SBP_change_relative	SBP_ratio	[Cve_cap]	[Cve_capall]	[Cve_capme]	[Cve_capss]	[Cve_captot]	[ace]	[ald]	[ang1]	[ang2]	[anggen]	[ren]	ace_activity	ace_inhibition	ald_change	ald_ratio	ang1_change	ang1_ratio	ang2_change	ang2_ratio	f_cardiac_function	ren_change	ren_ratio	time
1.0105027952686e-06	1.0105027952686e-06	1.00300143544081e-09	1.00300143544081e-09	1.00300143544081e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	1.0	0.6	1.0	131.3	0.0	72.0	0.09999999999999999	0.1	177.9	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1e-09	2.5e-07	1e-08	8e-09	1e-08	1.797722884346494e-10	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
9.587585334005806e-07	9.324909966683381e-07	3.770411064994819e-11	9.255687491150054e-10	1.0869121070050342e-09	1.6959875908515656e-23	1.6959875908563584e-23	4.7928183575916944e-35	1.6959875908563584e-23	0.0004944331933098194	0.0004951713357069076	7.238392495348296e-07	1.4303147553400097e-08	0.0004944474964573728	106.27455150472976	-1.7254484952702427	-0.01597637495620595	0.984023625043794	0.6	1.0	129.20230196825017	-2.097698031749843	67.63774052257024	0.10836595727575866	0.1083659572992112	175.05780289529096	-2.8421971047090437	-0.01597637495620598	0.984023625043794	0.0027390968685390327	0.002799574448686145	1.998443496621881e-05	4.049314518089361e-05	0.0027795900137199264	1e-09	2.3719838725080778e-07	1.0672529339927776e-08	7.382392219275152e-09	1e-08	1.9481196127874582e-10	0.035222468492756565	0.9647775315072434	-1.2801612749192204e-08	0.9487935490032312	6.725293399277759e-10	1.0672529339927777	-6.176077807248488e-10	0.9227990274093939	1.0	1.5039672844096403e-11	1.0836595727575866	3.75
8.778129981162495e-07	8.516254115305928e-07	2.764501877296619e-11	8.453034610319969e-10	1.1901192005636013e-09	1.2985389954552704e-21	1.2985389955132676e-21	5.799722384459639e-32	1.2985389955132676e-21	0.0017874269786305429	0.001793033296765465	5.49775813785312e-06	1.0855999706894606e-07	0.0017875355386276117	103.57536618421182	-4.424633815788184	-0.040968831627668366	0.9590311683723316	0.6	1.0	125.92079240728715	-5.379207592712859	63.539776986090786	0.11865578238585021	0.11865578241171354	170.6116448534378	-7.288355146562196	-0.04096883162766833	0.9590311683723317	0.004073209249867006	0.0042713117898590895	6.550526617837419e-05	0.00013259727381370948	0.004205806523680715	1e-09	2.1717233297779236e-07	1.1502321330715331e-08	6.742191435931446e-09	1e-08	2.1331021535508058e-10	0.023962373802173254	0.9760376261978267	-3.282766702220763e-08	0.8686893319111695	1.502321330715331e-09	1.150232133071533	-1.2578085640685544e-09	0.8427739294914307	1.0	3.3537926920431164e-11	1.1865578238585022	7.5
8.016206532280277e-07	7.775787117424784e-07	2.5635857804076716e-11	7.718064390298044e-10	1.3034510058512858e-09	1.5708133301243985e-20	1.5708133304335906e-20	3.091919890247591e-30	1.5708133304335906e-20	0.0034802474106319296	0.00349708515510513	1.65119273821394e-05	3.2581709106128895e-07	0.003480573227722991	101.03467931203622	-6.965320687963782	-0.06449371007373872	0.9355062899262613	0.6	1.0	122.8319758673181	-8.468024132681904	59.690096508988745	0.12995504889566095	0.12995504892413545	166.42656897788189	-11.47343102211812	-0.06449371007373873	0.9355062899262613	0.004758140496330147	0.005127610485946766	0.00012225390450153772	0.0002472160851150801	0.005005356581445228	1e-09	1.9832222557458394e-07	1.2416991098463448e-08	6.1559747514467125e-09	1e-08	2.336231653360973e-10	0.020584007415088257	0.9794159925849117	-5.1677774425416046e-08	0.7932889022983358	2.4169910984634474e-09	1.2416991098463448	-1.844025248553288e-09	0.7694968439308391	1.0	5.3850876901447875e-11	1.2995504889566096	11.25
7.320101878013161e-07	7.101056252896315e-07	2.570738470121209e-11	7.048342318447282e-10	1.4273028094059827e-09	9.064171229522143e-20	9.064171234349799e-20	4.827656234679723e-29	9.064171234349799e-20	0.005395520507763562	0.005430966259845748	3.4760346236057544e-05	6.85405846128372e-07	0.005396205913609691	98.71346980030455	-9.286530199695449	-0.08598639073792082	0.9140136092620792	0.6	1.0	120.00998689611099	-11.290013103889024	56.07365638114127	0.1423031671713108	0.14230316720226588	162.60302108772387	-15.296978912276131	-0.08598639073792091	0.9140136092620791	0.005136416922016507	0.0056928313569479284	0.00018424145794262493	0.0003721729769887968	0.005508589899005304	1e-09	1.8110048562674725e-07	1.3421175634813861e-08	5.621800383844596e-09	1e-08	2.558216601388502e-10	0.019097027889347418	0.9809029721106526	-6.889951437325274e-08	0.724401942506989	3.421175634813861e-09	1.342117563481386	-2.3781996161554046e-09	0.7027250479805744	1.0	7.604937170420077e-11	1.423031671713108	15.0
6.686607452302673e-07	6.487452270179716e-07	2.6804330679657938e-11	6.439293359514559e-10	1.562301673664402e-09	3.5015583726570035e-19	3.5015583765670804e-19	3.91007685788711e-28	3.5015583765670804e-19	0.007437168828142047	0.007499056160462872	6.069148501395455e-05	1.1958473068701338e-06	0.0074383646754489175	96.60103846174908	-11.398961538250916	-0.10554594016898997	0.89445405983101	0.6	1.0	117.44181805581162	-13.858181944188388	52.67632528415888	0.15576265581093457	0.15576265584465057	159.1233772439367	-18.77662275606332	-0.10554594016898998	0.89445405983101	0.005334012169503063	0.006083416176073606	0.00024832308448351453	0.0005010809220870281	0.005835093091590091	1e-09	1.6542773269927763e-07	1.452191930758614e-08	5.136019257387841e-09	1e-08	2.800180908779035e-10	0.01840260876875166	0.9815973912312483	-8.457226730072236e-08	0.6617109307971105	4.521919307586139e-09	1.452191930758614	-2.8639807426121593e-09	0.6420024071734801	1.0	1.0024580244325407e-10	1.5576265581093456	18.75
6.111059854076808e-07	5.930253822467253e-07	2.8627481507612168e-11	5.886231215107092e-10	1.7090933782865126e-09	1.0512365250977897e-18	1.0512365272047099e-18	2.1069201526992414e-27	1.0512365272047099e-18	0.00954330387369311	0.009639607927309156	9.444451059898728e-05	1.859543017058296e-06	0.009545163416710169	94.68183486029815	-13.318165139701847	-0.12331634388612821	0.8766836561138718	0.6	1.0	115.10856404775137	-16.19143595224864	49.48482807295144	0.1703978995339505	0.17039789957054238	155.9620224226578	-21.937977577342195	-0.12331634388612814	0.8766836561138719	0.005410227773711429	0.006352728662919725	0.00031253679154060447	0.0006299640976676919	0.006040191871379121	1e-09	1.5118859350736477e-07	1.57271902233447e-08	4.694893552187309e-09	1e-08	3.063282034367576e-10	0.018148070117371073	0.9818519298826289	-9.881140649263522e-08	0.6047543740294591	5.727190223344701e-09	1.57271902233447	-3.3051064478126918e-09	0.5868616940234136	1.0	1.265559150021082e-10	1.703978995339505	22.5
5.588910987069685e-07	5.425003599525317e-07	3.108276998186775e-11	5.384731663358848e-10	1.868267431274868e-09	2.654161190764529e-18	2.654161199370249e-18	8.605719781146819e-27	2.654161199370249e-18	0.011670588570445048	0.011809221235823678	0.00013595773405911867	2.674931319512004e-06	0.01167326350176456	92.94069305179681	-15.059306948203186	-0.13943802729817764	0.8605619727018223	0.6	1.0	112.99178701574927	-18.308212984250744	46.48669390281382	0.18626767273306855	0.18626767277297626	153.0939749436542	-24.806025056345817	-0.13943802729817772	0.8605619727018223	0.005400384435501574	0.0065320782226279414	0.0003755542222706512	0.0007561395648557163	0.006156524000357291	1e-09	1.382705474254553e-07	1.7045557282318566e-08	4.294894482173743e-09	1e-08	3.3485765788620083e-10	0.018180547409479608	0.9818194525905204	-1.1172945257454468e-07	0.5530821897018213	7.045557282318566e-09	1.7045557282318566	-3.705105517826257e-09	0.5368618102717179	1.0	1.5508536945155142e-10	1.8626767273306857	26.25
5.115940508687673e-07	4.967599746668424e-07	3.415399067683771e-11	4.930723299265531e-10	2.040292708036581e-09	5.905969853021535e-18	5.905969881792007e-18	2.8770471749908054e-26	5.905969881792007e-18	0.013787831048132202	0.01397650059999328	0.00018503180717076845	3.6377446903108645e-06	0.013791468792822512	91.36354000956572	-16.636459990434275	-0.15404129620772478	0.8459587037922752	0.6	1.0	111.07437780792573	-20.225622192074283	43.670207499320476	0.20341872264020147	0.2034187226831842	150.49605340464575	-27.403946595354256	-0.1540412962077249	0.8459587037922751	0.0053287982779637155	0.006643016816495613	0.000436457179182552	0.0008777613593493454	0.006206559637313061	1e-09	1.2656918250601706e-07	1.848602795772835e-08	3.932774670136756e-09	1e-08	3.656904927948225e-10	0.018420282883951478	0.9815797171160485	-1.2343081749398293e-07	0.5062767300240683	8.48602795772835e-09	1.848602795772835	-4.067225329863244e-09	0.4915968337670945	1.0	1.859182043601731e-10	2.0341872264020147	30.0
4.6882966130780313e-07	4.5543132242861913e-07	3.7863403806553015e-11	4.5205047653449645e-10	2.2254414750319562e-09	1.1936122155539353e-17	1.1936122238214487e-17	8.267513466317417e-26	1.1936122238214487e-17	0.01587258403224961	0.01611869847580521	0.00024137258130354307	4.741862252052881e-06	0.015877325894501665	89.93753161838755	-18.062468381612447	-0.16724507760752266	0.8327549223924774	0.6	1.0	109.34072131013228	-21.95927868986773	41.024363380641844	0.22187819442689982	0.22187819447288423	148.14710069362172	-29.752899306378282	-0.16724507760752266	0.8327549223924774	0.005213334174627847	0.006701533899126781	0.000494619874045095	0.0009935798504538392	0.006206914025081686	1e-09	1.1598920445914855e-07	2.00578892815517e-08	3.6055818910035713e-09	1e-08	3.9887550765871855e-10	0.018820574184382877	0.9811794258156171	-1.3401079554085144e-07	0.4639568178365942	1.0057889281551701e-08	2.00578892815517	-4.394418108996429e-09	0.4506977363754464	1.0	2.1910321922406914e-10	2.218781944268998	33.75
