ALDDEG	ALDSEC	ANG1ANG2	ANG2DEG	ANGGEN2ANG1	Afeces_cap	Afeces_capall	Afeces_capss	Afeces_captot	Aurine_cap	Aurine_capall	Aurine_capme	Aurine_capss	Aurine_captot	DBP	DBP_change	DBP_change_relative	DBP_ratio	GU__F_cap_abs	KI__f_renal_function	MAP	MAP_change	PODOSE_cap	RENDEG	RENSEC	SBP	SBP_change	SBP_change_relative	SBP_ratio	[Cve_cap]	[Cve_capall]	[Cve_capme]	[Cve_capss]	[Cve_captot]	[ace]	[ald]	[ang1]	[ang2]	[anggen]	[ren]	ace_activity	ace_inhibition	ald_change	ald_ratio	ang1_change	ang1_ratio	ang2_change	ang2_ratio	f_cardiac_function	ren_change	ren_ratio	time
1.0105027952686e-06	1.0105027952686e-06	1.00300143544081e-09	1.00300143544081e-09	1.00300143544081e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	1.0	0.35	1.0	93.33333333333333	0.0	100.0	0.1	0.1	120.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1e-09	2.5e-07	1e-08	8e-09	1e-08	1e-09	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
9.427179505990763e-07	9.156752305490027e-07	2.691343758956489e-11	9.088778130436737e-10	1.1068725232750072e-09	1.0454442388412679e-22	1.0454442388445867e-22	3.3187457798354923e-34	1.0454442388445867e-22	0.0008942107164042676	0.0008957980681000226	1.556495794968769e-06	3.085590078631252e-08	0.0008942415723050539	78.32567932258736	-1.6743206774126378	-0.020929008467657974	0.979070991532342	0.35	1.0	91.37995920968525	-1.953374123648075	92.77434863285521	0.1103560258404363	0.1103560259747053	117.48851898388104	-2.511481016118964	-0.020929008467658033	0.979070991532342	0.003936875489511274	0.004038783783778143	3.3683499644492713e-05	6.822479462237643e-05	0.00400510028413365	1e-09	2.332299215333922e-07	1.0832107782184459e-08	7.249264305542935e-09	1e-08	1.103560258404363e-09	0.024771633472427612	0.9752283665275724	-1.6770078466607795e-08	0.9329196861335688	8.321077821844586e-10	1.083210778218446	-7.507356944570657e-10	0.9061580381928668	1.0	1.0356025840436293e-10	1.103560258404363	4.5
8.459225832746629e-07	8.203832733043634e-07	2.0172243252760383e-11	8.142932454899223e-10	1.235441757422751e-09	8.451806757841415e-21	8.451806758253201e-21	4.117857931227715e-31	8.451806758253201e-21	0.0032798017098163946	0.0032921564549398597	1.2114790431103879e-05	2.399546923613526e-07	0.0032800416645087558	75.93478375029312	-4.065216249706879	-0.050815203121335986	0.949184796878664	0.35	1.0	88.59058104200864	-4.742752291324692	86.07079764250584	0.12317447550608798	0.12317447565678269	113.90217562543968	-6.097824374560318	-0.050815203121335986	0.949184796878664	0.005799388699465494	0.006136632361107179	0.00011156036945414025	0.00022568329218754525	0.006025071991653039	1e-09	2.0928259358496123e-07	1.1864779020570582e-08	6.494852084689573e-09	1e-08	1.2317447550608798e-09	0.016950908830445588	0.9830490911695544	-4.0717406415038756e-08	0.8371303743398449	1.8647790205705818e-09	1.1864779020570582	-1.5051479153104275e-09	0.8118565105861966	1.0	2.3174475506087972e-10	1.2317447550608798	9.0
7.578431644977015e-07	7.349434137681025e-07	1.9274885857668187e-11	7.294876396469893e-10	1.3790663797326278e-09	1.0457326913109087e-19	1.0457326915312245e-19	2.203158310391388e-29	1.0457326915312245e-19	0.006366440253952567	0.00640359611988805	3.6434845794076666e-05	7.210201414062176e-07	0.006367161274093974	73.75917660932024	-6.240823390679765	-0.07801029238349706	0.9219897076165029	0.35	1.0	86.05237271087361	-7.280960622459716	79.85162187593804	0.1374939587326254	0.13749395890054814	110.63876491398035	-9.361235086019647	-0.07801029238349706	0.9219897076165029	0.006676513261527528	0.007301682066679905	0.00020698323492197033	0.00041818557023040587	0.007094698831757934	1e-09	1.87491605180632e-07	1.3022565573050491e-08	5.81843745279496e-09	1e-08	1.3749395873262541e-09	0.014756851516506742	0.9852431484834933	-6.2508394819368e-08	0.749966420722528	3.022565573050491e-09	1.302256557305049	-2.1815625472050407e-09	0.7273046815993699	1.0	3.7493958732625404e-10	1.374939587326254	13.5
6.790684178358166e-07	6.58620324309691e-07	1.9926320341505514e-11	6.537311265106591e-10	1.5388771277312895e-09	6.105075179036816e-19	6.105075182465813e-19	3.4289967583037664e-28	6.105075182465813e-19	0.009811759541909588	0.009889689976489882	7.641949947442901e-05	1.5109351058663548e-06	0.009813270477015454	71.81339967589257	-8.186600324107431	-0.10233250405134289	0.8976674959486571	0.35	1.0	83.78229962187467	-9.551033711458658	74.08182206817239	0.15342721090473485	0.15342721109126445	107.72009951383886	-12.27990048616114	-0.10233250405134282	0.8976674959486571	0.007106440409084341	0.00803976640077052	0.0003092814854136366	0.0006240445062725413	0.0077304849153568824	1e-09	1.6800260746812544e-07	1.4316813021336742e-08	5.2141989306194785e-09	1e-08	1.5342721090473485e-09	0.013876476363273826	0.9861235236367262	-8.199739253187455e-08	0.6720104298725018	4.3168130213367416e-09	1.431681302133674	-2.785801069380522e-09	0.6517748663274348	1.0	5.342721090473484e-10	1.5342721090473483	18.0
6.087886435782607e-07	5.905606084121705e-07	2.142931006392264e-11	5.861766446620844e-10	1.7162264778746994e-09	2.374330337681382e-18	2.3743303404437602e-18	2.7623781134521215e-27	2.3743303404437602e-18	0.01343451879000556	0.013569869441467677	0.00013272876771342772	2.6218837486883953e-06	0.013437140673754249	70.07745294890651	-9.922547051093488	-0.12403183813866861	0.8759681618613314	0.35	1.0	81.75702844039093	-11.576304892942403	68.72892787909967	0.17110907494568375	0.17110907515242516	105.11617942335977	-14.883820576640233	-0.12403183813866861	0.8759681618613314	0.00727727663389179	0.00852256448889885	0.00041303062570842425	0.0008322572292986363	0.008109533863190426	1e-09	1.5061527945017698e-07	1.5761687155065675e-08	4.6753803051495345e-09	1e-08	1.7110907494568376e-09	0.01355513761549787	0.9864448623845021	-9.938472054982301e-08	0.6024611178007079	5.761687155065675e-09	1.5761687155065676	-3.324619694850466e-09	0.5844225381436917	1.0	7.110907494568375e-10	1.7110907494568375	22.5
5.461864747500906e-07	5.299628107794201e-07	2.3616492446630465e-11	5.260286883231365e-10	1.9124658039048504e-09	7.157270566305681e-18	7.157270581102187e-18	1.4796505394351922e-26	7.157270581102187e-18	0.01712013055905014	0.017329520937767316	0.00020533790024851806	4.052478468659422e-06	0.017124183037518798	68.53114704187227	-11.468852958127727	-0.14336066197659658	0.8566393380234034	0.35	1.0	79.95300488218432	-13.380328451149012	63.7628151621819	0.19067428383732465	0.19067428406579068	102.79672056280842	-17.203279437191583	-0.14336066197659653	0.8566393380234035	0.007278341997326438	0.00882946476960251	0.0005149431740451143	0.0010361795982309588	0.008314521595557397	1e-09	1.3512740323615572e-07	1.737291213067246e-08	4.195636574274307e-09	1e-08	1.9067428383732466e-09	0.013553180380664887	0.9864468196193351	-1.1487259676384427e-07	0.5405096129446229	7.372912130672459e-09	1.7372912130672458	-3.804363425725693e-09	0.5244545717842883	1.0	9.067428383732465e-10	1.9067428383732465	27.0
4.905158803098474e-07	4.761023290824635e-07	2.6466249335467437e-11	4.725680341730197e-10	2.128819144664728e-09	1.8115824534430763e-17	1.811582459450848e-17	6.007771723973077e-26	1.811582459450848e-17	0.02079091288078985	0.021090498819920464	0.0002937930746816896	5.792864448925494e-06	0.020796705745238776	67.15605460270557	-12.843945397294434	-0.16054931746618042	0.8394506825338196	0.35	1.0	78.34873036982316	-14.98460296351017	59.1555364367019	0.2122448751759893	0.2122448754275209	100.73408190405834	-19.265918095941657	-0.16054931746618048	0.8394506825338195	0.007163962585347014	0.009008401730036078	0.0006128957942246731	0.0012315433504643905	0.008395505935811405	1e-09	1.2135440955892265e-07	1.9167454617132073e-08	3.769231169367812e-09	1e-08	2.122448751759893e-09	0.013766590731307149	0.9862334092686929	-1.2864559044107734e-07	0.4854176382356906	9.167454617132073e-09	1.9167454617132074	-4.230768830632189e-09	0.4711538961709764	1.0	1.1224487517598931e-09	2.122448751759893	31.5
4.411094622566513e-07	4.2833322447067976e-07	3.001720046667174e-11	4.251535384193432e-10	2.3662319313251927e-09	4.037090718284423e-17	4.037090738254665e-17	1.9970241821920765e-25	4.037090738254665e-17	0.02439358214649508	0.02479877268201331	0.00039736279307699655	7.827742441232611e-06	0.024401409888936312	65.93569055604203	-14.064309443957967	-0.1758038680494746	0.8241961319505254	0.35	1.0	76.92497231538236	-16.408361017950966	54.88116360943553	0.23591510916285532	0.23591510943783234	98.90353583406304	-21.096464165936965	-0.1758038680494747	0.8241961319505253	0.006971538896967429	0.009092691276463765	0.0007055240812231938	0.0014156282982731425	0.008387167195240571	1e-09	1.0913118309074067e-07	2.116325990947831e-08	3.3910502888362636e-09	1e-08	2.3591510916285534e-09	0.014141193516291728	0.9858588064837083	-1.4086881690925933e-07	0.4365247323629627	1.1163259909478309e-08	2.1163259909478307	-4.608949711163737e-09	0.4238812861045329	1.0	1.3591510916285533e-09	2.3591510916285534	36.0
3.9737602544095975e-07	3.8608465339023254e-07	3.4342486846531755e-11	3.83218595104567e-10	2.625164569769555e-09	8.165666074296208e-17	8.165666131371122e-17	5.707491378457561e-25	8.165666131371122e-17	0.02789220747653356	0.028417486191113932	0.0005151403026873408	1.0138411893029218e-05	0.02790234588842659	64.85545207630773	-15.144547923692272	-0.1893068490461534	0.8106931509538466	0.35	1.0	75.66469408902569	-17.66863924430764	50.915642060799726	0.261730888611921	0.26173088891136037	97.2831781144616	-22.716821885538394	-0.18930684904615327	0.8106931509538468	0.006727997883378321	0.00910679340816563	0.0007919962481646878	0.0015867992766226205	0.008314797160000942	1e-09	9.831146121058821e-08	2.3378872573099467e-08	3.0565746493564764e-09	1e-08	2.6173088861192103e-09	0.014645581575740474	0.9853544184242595	-1.5168853878941178e-07	0.39324584484235287	1.3378872573099467e-08	2.3378872573099465	-4.943425350643524e-09	0.3820718311695595	1.0	1.6173088861192103e-09	2.61730888611921	40.5
